singular_value_index,mean_c_ideal_noise_0,std_c_ideal_noise_0,mean_c_noisy_noise_25,std_c_noisy_noise_25,mean_c_ctc_noise_25,std_c_ctc_noise_25,mean_c_noisy_noise_50,std_c_noisy_noise_50,mean_c_ctc_noise_50,std_c_ctc_noise_50
1,0.9991018853478888,0.0,0.999055166408261,0.0,0.999053335978062,0.0,0.9989341856192037,0.0,0.9989261465072294,0.0
2,0.998340536879204,0.0,0.9981389712226908,0.0,0.9981179490477647,0.0,0.9975603995101612,0.0,0.9975007487693527,0.0
3,0.9978698942219925,0.0,0.9975434937009675,0.0,0.9975167301123237,0.0,0.9966378366663282,0.0,0.9965245159743631,0.0
4,0.9775917241461357,0.0,0.9727821412241717,0.0,0.9695684868753093,0.0,0.9715902180225872,0.0,0.9460854581992706,0.0
5,0.9743739266548377,0.0,0.9713050599006924,0.0,0.9653959438130206,0.0,0.9713505290002826,0.0,0.9361993683254823,0.0
6,0.9697303344056575,0.0,0.9634442599876417,0.0,0.9559357427496767,0.0,0.9679226788647951,0.0,0.9118124179355813,0.0
7,0.9587163181152856,0.0,0.9567835737576526,0.0,0.9454806927248537,0.0,0.9668805551551264,0.0,0.9024440387101094,0.0
8,0.9547568150795787,0.0,0.9531401284080888,0.0,0.9384917552187986,0.0,0.9618714194872755,0.0,0.8937042526618636,0.0
9,0.9376025043307502,0.0,0.9332420559053862,0.0,0.9134486304727297,0.0,0.9574768055049738,0.0,0.8661788624799517,0.0
10,0.9283667181384629,0.0,0.9325243405717027,0.0,0.8950728981036553,0.0,0.9564883597022117,0.0,0.820517103333288,0.0
11,0.912512229120476,0.0,0.9199634017465994,0.0,0.8707437929660474,0.0,0.9536491713535258,0.0,0.819675609212502,0.0
12,0.8546895225796715,0.0,0.915680118712337,0.0,0.8011458271105389,0.0,0.9501595121488472,0.0,0.8037958004687759,0.0
13,0.8296366693224003,0.0,0.9134719107679917,0.0,0.7697170002265517,0.0,0.9486980081646026,0.0,0.7661879315608354,0.0
14,0.8157491928004719,0.0,0.8925887887337971,0.0,0.7257862486493493,0.0,0.946842419981345,0.0,0.7513548077706819,0.0
15,0.7723747623275109,0.0,0.8837532360848892,0.0,0.7019014404067558,0.0,0.9444319013252915,0.0,0.7484684550105871,0.0
16,0.7495252399572407,0.0,0.8776278066049462,0.0,0.6594065602654493,0.0,0.9426353127107144,0.0,0.740621071935369,0.0
17,0.704155605843401,0.0,0.874298363003527,0.0,0.6498133528924118,0.0,0.9400115816851342,0.0,0.7327671981699491,0.0
18,0.6886020092605266,0.0,0.8677830016207677,0.0,0.622184294148981,0.0,0.9373563304894117,0.0,0.7205786340036795,0.0
19,0.6544156074804734,0.0,0.8582398900836897,0.0,0.6083431755790247,0.0,0.9369675720264315,0.0,0.7154363714884907,0.0
20,0.6272751923961442,0.0,0.8537761119575402,0.0,0.5694988922862145,0.0,0.9332123567974036,0.0,0.7078079906825404,0.0
21,0.6043990067782681,0.0,0.8425999718042039,0.0,0.5417277231292951,0.0,0.9316450025070246,0.0,0.6900134596766839,0.0
22,0.5579534841233668,0.0,0.8393682670306487,0.0,0.52496114341544,0.0,0.931400509242919,0.0,0.6828380416175692,0.0
23,0.5303737226675888,0.0,0.8315443981775216,0.0,0.5030915995752833,0.0,0.9293898773750957,0.0,0.6733150905595541,0.0
24,0.5056923653930372,0.0,0.8218480801505362,0.0,0.4930021657144123,0.0,0.9271545843935933,0.0,0.6691341252652611,0.0
