noise_percent,mean_kept_magnitude,std_kept_magnitude,mean_removed_magnitude,std_removed_magnitude,mean_total_magnitude,std_total_magnitude,mean_kept_count,std_kept_count,mean_removed_count,std_removed_count,mean_total_count,std_total_count,mean_magnitude_per_kept,std_magnitude_per_kept,mean_magnitude_per_removed,std_magnitude_per_removed,mean_magnitude_per_total,std_magnitude_per_total
0.0,96.92537081861992,0.0,0.0,0.0,96.92537081861992,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.48462685409309963,0.0,0.0,0.0,0.48462685409309963,0.0
5.0,96.37585713863982,0.0,0.02410461388170807,0.0,96.39996175252152,0.0,139.0,0.0,61.0,0.0,200.0,0.0,0.6933514902060418,0.0,0.0003951576046181651,0.0,0.4819998087626076,0.0
10.0,94.93776529145518,0.0,0.1299528545284749,0.0,95.06771814598365,0.0,124.0,0.0,76.0,0.0,200.0,0.0,0.7656271394472192,0.0,0.0017099059806378277,0.0,0.47533859072991824,0.0
15.0,92.64349889906521,0.0,0.36589606611755293,0.0,93.00939496518276,0.0,117.0,0.0,83.0,0.0,200.0,0.0,0.7918247769150872,0.0,0.004408386338765698,0.0,0.46504697482591384,0.0
20.0,90.03828907793361,0.0,0.5948564083634933,0.0,90.63314548629711,0.0,116.0,0.0,84.0,0.0,200.0,0.0,0.7761921472235657,0.0,0.007081623909089206,0.0,0.45316572743148553,0.0
25.0,87.09215198513937,0.0,0.9375000965966936,0.0,88.02965208173606,0.0,115.0,0.0,85.0,0.0,200.0,0.0,0.7573230607403423,0.0,0.011029412901137573,0.0,0.4401482604086803,0.0
30.0,83.72806562359196,0.0,1.442057840969038,0.0,85.170123464561,0.0,111.0,0.0,89.0,0.0,200.0,0.0,0.7543068975098375,0.0,0.016202897089539755,0.0,0.425850617322805,0.0
35.0,80.52234036025047,0.0,1.9724221188498887,0.0,82.49476247910036,0.0,109.0,0.0,91.0,0.0,200.0,0.0,0.7387370675252336,0.0,0.021674968339009767,0.0,0.4124738123955018,0.0
40.0,77.14947044201261,0.0,2.6089991260156657,0.0,79.75846956802827,0.0,107.0,0.0,93.0,0.0,200.0,0.0,0.7210230882431086,0.0,0.0280537540431792,0.0,0.3987923478401414,0.0
45.0,74.33632825440355,0.0,3.147403279949502,0.0,77.48373153435305,0.0,106.0,0.0,94.0,0.0,200.0,0.0,0.7012861156075807,0.0,0.033483013616484064,0.0,0.38741865767176525,0.0
50.0,71.52043402906891,0.0,3.817013673653298,0.0,75.3374477027222,0.0,105.0,0.0,95.0,0.0,200.0,0.0,0.6811469907530372,0.0,0.04017909130161366,0.0,0.376687238513611,0.0
55.0,68.49859406567148,0.0,4.6694846341713365,0.0,73.16807869984282,0.0,103.0,0.0,97.0,0.0,200.0,0.0,0.6650348938414707,0.0,0.04813901684712718,0.0,0.3658403934992141,0.0
60.0,66.10081862699028,0.0,5.122336778085848,0.0,71.22315540507613,0.0,104.0,0.0,96.0,0.0,200.0,0.0,0.6355847944902911,0.0,0.053357674771727585,0.0,0.35611577702538066,0.0
65.0,63.35251641388737,0.0,6.157530917232569,0.0,69.51004733111994,0.0,103.0,0.0,97.0,0.0,200.0,0.0,0.6150729748921104,0.0,0.06347970017765535,0.0,0.3475502366555997,0.0
70.0,61.36712796067881,0.0,6.572060253670714,0.0,67.93918821434953,0.0,104.0,0.0,96.0,0.0,200.0,0.0,0.5900685380834501,0.0,0.0684589609757366,0.0,0.33969594107174766,0.0
75.0,59.19088049252957,0.0,7.659017009181177,0.0,66.84989750171076,0.0,103.0,0.0,97.0,0.0,200.0,0.0,0.5746687426459182,0.0,0.0789589382389812,0.0,0.33424948750855377,0.0
80.0,57.54281422893877,0.0,8.629470298288116,0.0,66.17228452722688,0.0,104.0,0.0,96.0,0.0,200.0,0.0,0.5532962906628728,0.0,0.08989031560716787,0.0,0.3308614226361344,0.0
85.0,56.21896712347664,0.0,9.460115897918794,0.0,65.67908302139543,0.0,102.0,0.0,98.0,0.0,200.0,0.0,0.5511663443478102,0.0,0.09653179487672238,0.0,0.3283954151069771,0.0
90.0,53.935440200275536,0.0,10.20535966379289,0.0,64.14079986406843,0.0,103.0,0.0,97.0,0.0,200.0,0.0,0.523645050488112,0.0,0.10520989344116383,0.0,0.32070399932034216,0.0
95.0,52.5338036078923,0.0,11.727542983965181,0.0,64.26134659185749,0.0,103.0,0.0,97.0,0.0,200.0,0.0,0.5100369282319641,0.0,0.12090250498933176,0.0,0.32130673295928747,0.0
100.0,51.87098694086262,0.0,12.450688649414738,0.0,64.32167559027737,0.0,102.0,0.0,98.0,0.0,200.0,0.0,0.5085390876555159,0.0,0.12704784336137487,0.0,0.3216083779513868,0.0
